中國石油化工 马永生_3,"https://img1.baidu.com/it/u=3057481093,2947255933&fm=253&fmt=auto&app=120&f=JPEG?w=300&h=450",马永生任中国石化股份总裁 汪东进任中国海油集团总经理
中國石油化工 陈月明_1,"https://img2.baidu.com/it/u=4060335935,3434130015&fm=253&fmt=auto&app=138&f=JPEG?w=450&h=300",陈月明-国家电网公司副总经理介绍
中國石油化工 陈月明_2,"https://img0.baidu.com/it/u=2314241408,3099145712&fm=253&fmt=auto&app=138&f=JPEG?w=300&h=203",陈月明
中國石油化工 陈月明_3,"https://img1.baidu.com/it/u=163833572,375565503&fm=253&fmt=auto&app=138&f=JPEG?w=400&h=292",陈月明教授喜迎70寿辰-中国石油大学新闻网
中國石油化工 陈月明_1,"https://img2.baidu.com/it/u=1147696398,1489349583&fm=253&fmt=auto&app=120&f=JPEG?w=800&h=606",化工
中國石油化工 陈月明_2,"https://img0.baidu.com/it/u=3568757967,4063727959&fm=253&fmt=auto&app=138&f=JPEG?w=667&h=500",化工企业
中國石油化工 陈月明_3,"https://img1.baidu.com/it/u=985226423,2734160698&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=375","戴厚良任中国石油化工集团公司董事长,党组书记"
name,link,title
中國石油化工 张玉卓_1,"https://img0.baidu.com/it/u=2769301769,2874251605&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=375",活力聚焦张玉卓一行莅临催化剂公司调研
中國石油化工 张玉卓_2,"https://img1.baidu.com/it/u=2695505831,4044463160&fm=253&fmt=auto&app=138&f=JPEG?w=600&h=379","最新消息:天津市委常委,滨海新区区委书记张玉卓,已调任中国石油化工"
中國石油化工 张玉卓_3,"https://img1.baidu.com/it/u=1372887177,1485104410&fm=253&fmt=auto&app=138&f=JPG?w=754&h=500","突发:中国石化董事长换人,张玉卓任中国科协党组书记!"
中國石油化工 张玉卓_1,"https://img0.baidu.com/it/u=2386212048,316555104&fm=253&fmt=auto&app=138&f=JPEG?w=640&h=427",中国化工集团
中國石油化工 张玉卓_2,"https://img0.baidu.com/it/u=3156075153,3493232612&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=368",张玉卓对话
中國石油化工 张玉卓_3,"https://img0.baidu.com/it/u=194586075,1307664299&fm=253&fmt=auto&app=138&f=JPEG?w=484&h=674",张玉卓中国石化党的建设要在央企站排头争第一
中國石油化工 马永生_1,"https://img0.baidu.com/it/u=3270146532,1998550448&fm=253&fmt=auto&app=138&f=JPEG?w=612&h=500","氢能之辩丨中石化马永生:加快氢能发展,保障能源安全"
中國石油化工 马永生_2,"https://img0.baidu.com/it/u=1125612538,4277119069&fm=253&fmt=auto&app=120&f=JPEG?w=750&h=500",我校校友马永生任中国石油化工集团董事长党组书记
中國石油化工 马永生_3,"https://img2.baidu.com/it/u=146856194,569961202&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=750",
中國石油化工 马永生_1,"https://img0.baidu.com/it/u=4048882283,4253506592&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=322","党组副书记,中国工程院院士中国石油化工集团有限公司总经理马永生"
中國石油化工 马永生_2,"https://img0.baidu.com/it/u=2717476011,74107222&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=400",中国石化副总经理马永生谈加强油气科学勘探
中國石油化工 马永生_3,"https://img1.baidu.com/it/u=3057481093,2947255933&fm=253&fmt=auto&app=120&f=JPEG?w=300&h=450",马永生任中国石化股份总裁 汪东进任中国海油集团总经理
